dakks-sample	dakks-sample.zip	42168	a07dfaa108fe37cf4c225e81740d5b1744058ef6125c83702e924dffd82c5dfc
dcc-sample	dcc-sample.zip	36564	ab35dad358f9468b4d65f9b056327003e8ed608c51050493c86e87eb922c3603
delivery-standalone	delivery-standalone.zip	6897	cfecc4cdab36130218f900090914fa578748cfc2b7ddb1301e876ebf8dc4dbfc
field-names	field-names.zip	3607	cda5ac83408551e7e6307b5c032645fafd6126fa54b8d9907754106e05ffcf83
inventory-sample	inventory-sample.zip	6670	c41b6a1f42904d14ecdd277774c903f5b327c2d21d96749bd8a9070bdec610eb
order-sample	order-sample.zip	13735	25d817b9ca6cf82fc93c072c7906488198427cb0a3835d05dc00859cb290ba47
sticker-cal-inv-zebra-zd621-30x15-203dpi	sticker-cal-inv-zebra-zd621-30x15-203dpi.zip	6702	09d80d97364dba09fb605e9dbd7d2bfad67d0a95c999ce3eb293094072b4371d
sticker-cal-zebra-zd621-30x15-203dpi	sticker-cal-zebra-zd621-30x15-203dpi.zip	5037	ee6c5245ea29e9bcd0bf727113d5c2769d163ac826988ba9d5612daa9579c383
sticker-dakks-aufkleber-12mm	sticker-dakks-aufkleber-12mm.zip	2210	1171ccf69b1e54e6165e420afbb430f1b664fecade3d3d3bdf9d76ccdcc7240b
sticker-dakks-aufkleber-18mm	sticker-dakks-aufkleber-18mm.zip	2192	963304a391d7e3992200a653bbbff6ce067fa3c4019b67568724f237f2870a03
sticker-inv-cal-loc-zebra-zd621-30x15-203dpi	sticker-inv-cal-loc-zebra-zd621-30x15-203dpi.zip	3170	013d386dfe704dfb90562ae85be6292059fc2aebe5557d9a041070ab4d15a7ec
sticker-inv-zebra-zd621-30x15-203dpi	sticker-inv-zebra-zd621-30x15-203dpi.zip	5095	f55aa6cb879c91e18fb737cb6c86795766bc4de1f7686a66c201f130ae30ee81
sticker-vorlage	sticker-vorlage.zip	6668	8354d4edbba42b2885bf4f122ff2051bae255f985275937afe1cdd72ea6f74bb
